Timestamp,Class,Class Icon,Location,Duration,Total Silver,Silver/Hr,Trash/Hr,Loot Summary,Raw Data
2026-05-19 15:44:06,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:08:16,0,0,0,,{}
2026-05-19 15:44:06,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:08:16,0,0,0,,{}
2026-05-19 15:44:06,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:08:16,0,0,0,,{}
2026-05-19 15:44:06,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:08:16,0,0,0,,{}
2026-05-19 15:44:07,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:08:16,0,0,0,,{}
2026-05-19 15:44:07,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:08:16,0,0,0,,{}
2026-05-19 15:45:39,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:01:29,5000000,198434771,0,pure forest breath (x2),"{""pure forest breath"": {""qty"": 2, ""price"": 2500000, ""icon"": ""drop_icons/50807.png""}}"
2026-05-19 15:45:40,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:01:29,5000000,196072590,0,pure forest breath (x2),"{""pure forest breath"": {""qty"": 2, ""price"": 2500000, ""icon"": ""drop_icons/50807.png""}}"
2026-05-19 15:45:41,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:01:29,5000000,195265028,0,pure forest breath (x2),"{""pure forest breath"": {""qty"": 2, ""price"": 2500000, ""icon"": ""drop_icons/50807.png""}}"
2026-05-19 15:45:41,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:01:29,5000000,194562995,0,pure forest breath (x2),"{""pure forest breath"": {""qty"": 2, ""price"": 2500000, ""icon"": ""drop_icons/50807.png""}}"
2026-05-19 15:45:41,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:01:29,5000000,193875664,0,pure forest breath (x2),"{""pure forest breath"": {""qty"": 2, ""price"": 2500000, ""icon"": ""drop_icons/50807.png""}}"
2026-05-19 15:45:42,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:01:29,5000000,193350564,0,pure forest breath (x2),"{""pure forest breath"": {""qty"": 2, ""price"": 2500000, ""icon"": ""drop_icons/50807.png""}}"
2026-05-19 15:45:42,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:01:29,5000000,192863915,0,pure forest breath (x2),"{""pure forest breath"": {""qty"": 2, ""price"": 2500000, ""icon"": ""drop_icons/50807.png""}}"
2026-05-19 16:22:42,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:00:49,0,0,0,,{}
2026-05-19 16:28:12,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Dokkebi Forest,00:01:06,3837683,207186360,3941,discarded kkebicap (x73),"{""discarded kkebicap"": {""qty"": 73, ""price"": 52571, ""icon"": ""drop_icons/56327.png""}}"
2026-05-19 16:39:22,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Dokkebi Forest,00:11:07,236404104,1274518858,17381,"discarded kkebicap (x3224), won dawn crystal - all ap (x1), ancient spirit dust (x8)","{""discarded kkebicap"": {""qty"": 3224, ""price"": 52571, ""icon"": ""drop_icons/56327.png""}, ""won dawn crystal - all ap"": {""qty"": 1, ""price"": 64000000, ""icon"": ""drop_icons/15263.png""}, ""ancient spirit dust"": {""qty"": 8, ""price"": 364400, ""icon"": ""drop_icons/721002.png""}}"
2026-05-19 18:33:30,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:00:12,735000,209851710,0,abyssal essence (x1),"{""abyssal essence"": {""qty"": 1, ""price"": 735000, ""icon"": ""drop_icons/9774.png""}}"
2026-05-19 18:53:41,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Darkseeker's Retreat,00:05:41,66514950,698871758,12555,"decayed cloth (x1195), black stone (x16), trace of nature (x10), ancient spirit dust (x2), sealed black magic crystal (x1)","{""decayed cloth"": {""qty"": 1195, ""price"": 45570, ""icon"": ""drop_icons/65330.png""}, ""black stone"": {""qty"": 16, ""price"": 290000, ""icon"": ""drop_icons/16001.png""}, ""trace of nature"": {""qty"": 10, ""price"": 281000, ""icon"": ""drop_icons/5960.png""}, ""ancient spirit dust"": {""qty"": 2, ""price"": 364400, ""icon"": ""drop_icons/721002.png""}, ""sealed black magic crystal"": {""qty"": 1, ""price"": 3880000, ""icon"": ""drop_icons/768160.png""}}"
